OffScreenDen_GR: 96><-15><0><-20><0><
GR_TaGRa2: 72><-51><0><-70><><NONE
GR_tapok1: 78><-57><0><-76><><NONE
GR_tapok2: 300><-273><0><-366><><NONE
GR_tapok3: 78><-54><0><-74><><NONE
GR_tapok4: 324><-111><0><-150><><NONE
GR_tapok5: 243><-57><0><-76><><NONE
GR_tapok6: 78><-51><0><-70><><NONE
GR_tapok7: 246><-111><0><-148><><NONE
GR_tapok8: 246><-57><0><-78><><NONE
GR_Tat1-2: 78><-60><0><-82><><NONE
GR_Tcan1: 72><-60><0><-80><><NONE
GR_Tcan2: 72><-51><0><-70><><NONE
GR_traincarthover1: 78><-54><0><-74><><NONE
GR_Tronsx1: 375><-51><0><-70><><NONE
GR_Tronsx2: 228><-168><0><-224><><NONE
GR_Tronsx3: 228><-168><0><-224><><NONE
GR_Tronsx4: 303><-57><0><-76><><NONE
GR_vprchm_2: 78><-51><0><-70><><NONE
GR_vprchm1: 99><-48><0><-66><><NONE
GR_WEX1: 396><-51><0><-70><><NONE
GR_WEX2: 396><-117><0><-156><><NONE
GR_WEX3: 180><-51><0><-70><><NONE
GR_Worldspire: 72><-111><0><-150><><NONE
GR_wrayk1: 72><-51><0><-70><><NONE
GR_wrayk2: 78><-51><0><-70><><NONE
GR_WYNNE1: 228><-51><0><-70><><NONE
GR_YIPPEE: 339><-57><0><-76><><NONE
GR_yofish: 90><-60><0><-80><><NONE
GR_Zarquon1: 72><-120><0><-162><><NONE
GR_Zarquon2: 174><-60><0><-80><><NONE
GR_Zarquon3: 153><-60><0><-80><><NONE
