GR_0rchid-1a: -1087.5><964.5><0><-70><0><Bridge
GR_quivel-1b: 5364><955.5><0><-70><0><Suspended
GR_quivel-2b: 7836><457.5><40><-190><0><Growth
GR_quivel-3b: 5040><-25.5><80><-150><0><Monolith
GR_quivel-4b: 3285><-637.5><120><-350><0><Diseased
GR_Rbor-1a: -9339><874.5><0><-70><0><Bridge
GR_Rbor-2b: 8299.5><435><40><-184><0><Growth
GR_Rbor-3b: 5388><-25.5><80><-150><0><Monolith
GR_Rbor-4b: 3588><-622.5><120><-190><0><Diseased
GR_ren-1a: -9915><877.5><0><-70><0><Bridge
GR_RexNecroMachina-2a: -3807><525><0><-70><0><Crypt
GR_RexNecroMachina-3a: -3531><4.5><40><-110><0><Shrouded
GR_RexNecroMachina-3b: 5635.5><-40.5><80><-166><0><Monolith
GR_RexNecroMachina-4a: -2967><-625.5><120><-222><0><Respite
GR_ROSE-1a: -10530><876><0><-76><0><Bridge
GR_ROSE-2a: -3987><507><40><-110><0><Crypt
GR_Seroen03: -3840><-25.5><160><-230><0><Shrouded
GR_Seroen03-2: 5883><-67.5><200><-270><0><Monolith
GR_Seroen04: -3213><-622.5><240><-310><0><Respite
GR_Seroen04-2: 3843><-607.5><280><-350><0><Diseased
GR_Seroen1: -10839><886.5><0><-70><0><Bridge
GR_Seroen1-2: 5658><964.5><40><-110><0><Suspended
GR_seroen2: -4194><504><80><-150><0><Crypt
GR_Seroen2-2: 8673><412.5><120><-190><0><Growth
GR_snoodle1: 5856><961.5><0><-70><0><Suspended
GR_snoodle2: 8919><388.5><40><-206><0><Growth
GR_SPIKO05: 6114><-57><160><-236><0><Monolith
GR_SPIKO06: -5337><-570><200><-270><0><Respite
GR_spiko07: 6300><-616.5><240><-310><0><Diseased
GR_SPIKO3: -4410><483><80><-152><0><Crypt
GR_SPIKO4: 8733><-81><120><-206><0><Monolith
GR_SPIKO_1: -11088><849><0><-80><0><Bridge
GR_SPIKO_1-2: 6045><954><40><-112><0><Suspended
GR_StarlightReactor3: 6474><-61.5><0><-70><0><Monolith
GR_StarlightReactor4: -4095><-34.5><40><-110><0><Shrouded
GR_Stoatykins1: -11481><847.5><0><-70><0><Bridge
GR_Stoatykins2: -4602><474><40><-116><0><Crypt
GR_TaGRa1: -11808><850.5><0><-70><0><Bridge
GR_TaGRa2: -4779><465><40><-110><0><Crypt
GR_tapok1: 6225><942><0><-76><0><Suspended
GR_tapok2: -12210><889.5><40><-406><0><Bridge
GR_tapok3: 9153><397.5><80><-154><0><Growth
GR_tapok4: -5202><453><120><-270><0><Crypt
GR_tapok5: 6973.5><-84><160><-236><0><Monolith
GR_tapok6: -4323><-40.5><200><-270><0><Shrouded
GR_tapok7: -3534><-621><240><-388><0><Respite
GR_tapok8: 4203><-601.5><280><-358><0><Diseased
GR_Tat1-2: 6393><958.5><0><-82><0><Suspended
GR_Tcan1: 6564><942><0><-80><0><Suspended
GR_Tcan2: -5634><447><40><-110><0><Crypt
GR_TheCubifyer1: -5901><441><0><-70><0><Crypt
GR_Tolly1: 6741><952.5><0><-70><0><Suspended
GR_Tolly2: -6252><432><40><-110><0><Crypt
GR_Tolly3: 4726.5><-601.5><80><-150><0><Diseased
GR_traincarthover1: 6927><961.5><0><-74><0><Suspended
GR_Tronsx1: 7402.5><955.5><0><-70><0><Suspended
GR_Tronsx2: -6666><444><40><-264><0><Crypt
GR_Tronsx3: 7527><-99><80><-304><0><Monolith
GR_Tronsx4: 5343><-615><120><-196><0><Diseased
GR_tyrix2: -12><-2967><0><-192><0><
GR_vprchm1: 7956><952.5><0><-66><0><Suspended
GR_vprchm2: -7017><441><40><-110><0><Crypt
GR_WEX1: 8493><943.5><0><-70><0><Suspended
GR_WEX2: -12978><909><40><-196><0><Bridge
GR_WEX3: -7287><420><80><-150><0><Crypt
GR_Worldspire: 9036><940.5><0><-150><0><Suspended
GR_wrayk1: 9231><925.5><0><-70><0><Suspended
GR_wrayk2: -7611><399><40><-110><0><Crypt
GR_WYNNE1: -13647><949.5><0><-70><0><Bridge
GR_YIPPEE: 9624><405><40><-116><0><Growth
GR_yofish: 10104><408><80><-160><0><Growth
GR_Zarquon1: 9414><946.5><0><-162><0><Suspended
GR_Zarquon2: -7914><390><40><-120><0><Crypt
GR_Zarquon3: 7962><-87><80><-160><0><Monolith
OffScreenDen_GR: 96><-15><0><-20><0><
